form	type	name	shortHint	longHint
TWizardForm	TButton	cancel	(none)	"Cancel making a new plant. If you made any changes to the wizard options, you will be asked if you want to save your new options (without creating a plant)."
TWizardForm	TButton	back	(none)	Return to the previous panel of wizard questions. Some panels may not be available depending on choices made in other panels.
TWizardForm	TButton	next	(none)	"If this button reads 'Next', click it to move to the next panel of wizard questions. (Some panels may not be available depending on choices made in other panels.) If this button reads 'Finish', click it to create a new plant in the main window from the wizard options chosen."
TWizardForm	TEdit	newPlantName	(none)	(none)
TWizardForm	TImage	apicalInflorExtraImage	(none)	(none)
TWizardForm	TImage	axillaryInflorExtraImage	(none)	(none)
TWizardForm	TPanel	previewPanel	(none)	(none)
TWizardForm	TSpeedButton	internodesVeryShort	(none)	?internodesLong
TWizardForm	TSpeedButton	internodesShort	(none)	?internodesLong
TWizardForm	TSpeedButton	internodesMedium	(none)	?internodesLong
TWizardForm	TSpeedButton	internodesLong	(none)	Plants with very short internodes usually form rosettes (a set of leaves very close together) and bolt later in their life cycle. You can control bolting with parameters outside the wizard. Most grasses have very short internodes (the leaves are long).
TWizardForm	TSpeedButton	internodesVeryLong	(none)	?internodesLong
TWizardForm	TSpeedButton	curvinessNone	(none)	?curvinessLittle
TWizardForm	TSpeedButton	curvinessLittle	(none)	"Curviness is an index of how much random variation is included in internode angles. Tall, straight plants with strong stems (like sunflowers) should have no curviness (or a little), and weak-stemmed plants like tomatoes should have a lot of curviness."
TWizardForm	TSpeedButton	curvinessSome	(none)	?curvinessLittle
TWizardForm	TSpeedButton	curvinessVery	(none)	?curvinessLittle
TWizardForm	TSpeedButton	leavesAlternate	(none)	"Most plants have alternate leaves (one on one side, then one on the other). A smaller number of plants have opposite leaves (in pairs), usually monocots like corn and grasses. Leaves in sets of three or more are called whorled, and we don't simulate them here."
TWizardForm	TSpeedButton	leavesOpposite	(none)	?leavesAlternate
TWizardForm	TSpeedButton	branchNone	(none)	?branchLittle
TWizardForm	TSpeedButton	branchLittle	(none)	Plants like corn branch very little; plants like clovers branch more. Plants that branch a lot usually take a long time to draw.
TWizardForm	TSpeedButton	branchMedium	(none)	?branchLittle
TWizardForm	TSpeedButton	branchLot	(none)	?branchLittle
TWizardForm	TSpeedButton	secondaryBranchingYes	(none)	?secondaryBranchingNo
