section	other sections this parameter is in	section order	parameter order	FieldID	name	fieldType	IndexType	unitSet	unitModel	unitMetric	unitEnglish	lowerBound	upperBound	defaultValue	regrow	readOnly	accessString	transferType	hint
General parameters		1	1	header	Drawing	7 Header	These parameters affect how the whole plant draws.												
General parameters		1	2	kGeneralLineDivisions	Number of segments to draw to create curved line	2 Smallint	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	1	20	3	FALSE	FALSE	pGeneral.LineDivisions	1 MFD	"The number of segments to divide each line on the plant (internodes, inflorescence segments, leaf petioles) in order to make the line look curved. Three segments makes a fairly smooth-looking curve."
General parameters		1	3	kGeneralRandomSway	Random sway in drawing angles	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	0	90	0	TRUE	FALSE	pGeneral.randomSway	1 MFD	An index of the amount of random 3D variation to use in all drawing angles for the plant.
General parameters		1	4	header	Growth	7 Header	These parameters affect how the whole plant grows.												
General parameters	Timing	1	5	kGeneralAgeAtMaturity	Age at maturity	2 Smallint	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	10	500	100	TRUE	FALSE	pGeneral.ageAtMaturity	1 MFD	Age when the plant is fully mature.
General parameters	Biomass	1	6	kGeneralGrowthSCurve	Growth curve	1 Single	3 S curve	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0	1	0.25 0.1 0.65 0.85	TRUE	FALSE	pGeneral.growthSCurve	2 S curve	"Fraction of maximum plant biomass (Y) for a given plant age (X). Plants tend to grow in an s-curve fashion, so simulated plant growth follows this curve."
General parameters	Timing	1	7	kGeneralAgeAtWhichFloweringStarts	Age at which flowering starts	2 Smallint	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	0	500	60	TRUE	FALSE	pGeneral.ageAtWhichFloweringStarts	1 MFD	Age when flowering starts.
General parameters		1	8	kGeneralFractionReproductiveAllocationAtMaturity	Fraction of total plant biomass at maturity in reproductive structures	1 Single	1 None	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0	1	0.6	TRUE	FALSE	pGeneral.fractionReproductiveAllocationAtMaturity_frn	1 MFD	Fraction of total plant biomass at maturity in reproductive structures.
General parameters		1	9	kGeneralMaleFlowersAreSeparate	Plant has both primary and secondary flowers	4 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False			FALSE	TRUE	FALSE	pGeneral.MaleFlowersAreSeparate	1 MFD	"If 'yes', this plant has both primary flowers (bearing fruit, either female or hermaphroditic) and secondary flowers (not bearing fruit, male). If 'no', the primary flowers are 'perfect' (hermaphroditic), and there are no secondary flowers. In cucumber and corn, for example, the fruits form out of the female flowers, and the male flowers are very small. "
General parameters		1	10	kGeneralIsDicot	Plant is dicotyledonous (has two seedling leaves)	4 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False			TRUE	TRUE	FALSE	pGeneral.IsDicot	1 MFD	"If 'yes', this plant belongs to a subclass of angiosperms called dicots which have two seedling leaves (cotyledons). If 'no, this plant is a monocot. Monocots (mostly grasses and grains) have one seedling leaf. In this model the impact of this choice is only the number of seedling leaves drawn, but in reality there are many differences between monocots and dicots."
General parameters	Numbers of flowers	1	11	kGeneralNumApicalInflors	Number of apical (terminal) inflorescences	2 Smallint	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	0	50	0	TRUE	FALSE	pGeneral.NumApicalInflors	1 MFD	The number of inflorescences on this plant at the end (apex) of branches. This number of inflorescences develops from the plant's apical meristems no matter the reproductive allocation.
General parameters	Numbers of flowers	1	12	kGeneralNumAxillaryInflors	Number of axillary inflorescences	2 Smallint	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	0	50	4	TRUE	FALSE	pGeneral.NumAxillaryInflors	1 MFD	The number of inflorescences on this plant found in the leaf axils of the plant's stems. This number of inflorescences develops from the plant's axillary meristems no matter the reproductive allocation.
General parameters	Angles	1	13	kGeneralPhyllotacticRotationAngle	Phyllotactic rotation angle	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	0	180	137.5	FALSE	FALSE	pGeneral.phyllotacticRotationAngle	1 MFD	The rotation angle between successive leaves on the plant stem. In most plants this angle is either 137 degrees or 180 degrees.
General parameters		1	14	kGeneralStartingSeedForRandomNumberGenerator	Starting seed for random number generator	2 Smallint	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	1	10000	1234	TRUE	FALSE	pGeneral.startingSeedForRandomNumberGenerator	1 MFD	"The starting seed for this plant's random number generator. This affects random choices of angles, lengths, and branching choices. When you randomize the plant, you change this number (randomly)."
Meristems (buds)		2	1	header	Branching	7 Header	"A meristem is an actively developing group of cells, a bud, out of which grows a leaf or stem. How a plant branches depends on whether each meristem develops into a leaf structure or a new branch. Meristems 'decide' this based on many factors, which we simulate with just a few."												
Meristems (buds)		2	2	kMeristemAndLeafArrangement	Axillary meristem and leaf arrangement	6 List of choices	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			0 Alternate	TRUE	FALSE	pMeristem.branchingAndLeafArrangement	1 MFD	"If 'alternate', creation of leaves and axillary (side) meristems on any stem is alternate (one to the left, one to the right, etc). If 'opposite', leaves and axillary meristems are opposite (in pairs). Whorled leaves/meristems (more than two) are not simulated here."
Meristems (buds)		2	3	kMeristemBranchingIndex	Branching index	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	30	TRUE	FALSE	pMeristem.BranchingIndex	1 MFD	The probability (as a percent) that any axillary (side) meristem (bud) will create a new vegetative branch on any day *if* it is far enough away from the apical (terminal) meristem to be outside the range of apical dominance.
Meristems (buds)		2	4	kMeristemBranchingDistance	Apical dominance strength (as node distance)	1 Single	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	0	10	3	TRUE	FALSE	pMeristem.BranchingDistance	1 MFD	The distance (number of stem internodes) an axillary (side) meristem (bud) must be from the apical (terminal) meristem before it can consider creating a side branch. In real plants a more subtle hormone gradient prevents the development of axillary buds.
Meristems (buds)		2	5	kMeristemSecondaryBranchingIsAllowed	Secondary branching (branches off branches)	4 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False			FALSE	TRUE	FALSE	pMeristem.secondaryBranchingIsAllowed	1 MFD	"If 'yes', secondary (and tertiary, etc) branching is allowed, which means that branches can have branches in turn. If 'no', only the primary stem (main stalk) can have branches."
Meristems (buds)		2	6	kMeristemBranchingIsSympodial	Sympodial branching	4 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False			FALSE	TRUE	FALSE	pMeristem.BranchingIsSympodial	1 MFD	"If 'yes', each apical meristem creates only one internode, and an axillary meristem on that internode develops to create the next 'main' stem. Tomato plants grow this way. If 'no', growth is monopodial: each apical meristem creates a series of internodes."
Meristems (buds)	Angles	2	7	kMeristemBranchingAngle	Branching angle	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	0	180	30	FALSE	FALSE	pMeristem.branchingAngle	1 MFD	"The angle between the stem the meristem comes from and the new branch it creates. The higher this angle, the more broad the plant will be (if there is branching)."
Meristems (buds)		2	8	kMeristemDeterminateProbability	Probability each meristem will become reproductive when it gets flowering signal	1 Single	1 None	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0	1	30	TRUE	FALSE	pMeristem.DeterminateProbability	1 MFD	"When a determinate plant enters the reproductive phase all meristems are dedicated to reproduction, so this probability is 1.0. In an indeterminate plant some meristems continue to produce vegetative parts, and this probability is between zero and one."
Meristems (buds)		2	9	header	Drawing	7 Header	"Often meristems are very small (and so you wouldn't draw them here), but sometimes you will want to draw leaf/stem buds on your plant, as in the case of Brussels sprouts."												
Meristems (buds)	3D objects	2	10	kAxillaryBudObject3D	Meristem 3D object	5 3D object	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			"N[Default 3D object],P[134 245 150],P[113 208 145],P[135 209 150],P[109 171 142],P[136 171 147],P[135 136 138],P[156 208 145],P[159 171 140],T[1 2 3],T[3 2 4],T[3 4 5],T[4 6 5],T[3 7 1],T[7 3 5],T[8 7 5],T[8 5 6]"	FALSE	FALSE	pAxillaryBud.tdoParams.object3D	3 3D Object	The 3D object used to draw sections of meristems. Meristems are always drawn with five 'section' 3D objects spun around to create an enclosed three-dimensional structure.
