http://www.onlamp.com/pub/a/python/2005/12/15/profiling.html?page=1

from hotshot import stats

s = stats.load("hotshot_stats")


>>> s.sort_stats("time").print_stats()
         602650 function calls (602618 primitive calls) in 2.997 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   100608    0.505    0.000    0.505    0.000 /home/pdf/workspace/OLPC/conversion_common.py:78(intround)
     6480    0.183    0.000    0.552    0.000 /home/pdf/workspace/OLPC/udrawingsurface.py:208(basicDrawTriangle)
     6480    0.180    0.000    0.253    0.000 /home/pdf/workspace/OLPC/gtkdrawingsurface.py:15(drawingContextDrawTriangle)
    19360    0.165    0.000    0.325    0.000 /home/pdf/workspace/OLPC/ufruit.py:99(traverseActivity)
    33708    0.144    0.000    0.145    0.000 /home/pdf/workspace/OLPC/upart.py:85(traverseActivity)
    17240    0.098    0.000    0.098    0.000 /home/pdf/workspace/OLPC/gtk_helpers.py:154(delphi_to_gdk_color)
    10540    0.096    0.000    0.096    0.000 copy.py:134(_copy_inst)
      244    0.082    0.000    2.958    0.012 /home/pdf/workspace/OLPC/utravers.py:204(traversePlant)
    16000    0.078    0.000    0.093    0.000 /home/pdf/workspace/OLPC/ufruit.py:54(nextDay)
     6480    0.075    0.000    0.118    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:410(__init__)
     4280    0.066    0.000    0.091    0.000 /home/pdf/workspace/OLPC/gtkdrawingsurface.py:7(drawingContextDrawSolidLine)
      856    0.062    0.000    0.494    0.001 /home/pdf/workspace/OLPC/upart.py:252(drawStemSegment)
      700    0.051    0.000    1.110    0.002 /home/pdf/workspace/OLPC/utdo.py:243(draw)
    10540    0.047    0.000    0.144    0.000 copy.py:75(copy)
     2928    0.044    0.000    1.287    0.000 /home/pdf/workspace/OLPC/uintern.py:173(traverseActivity)
    19440    0.043    0.000    0.043    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:105(__init__)
     6480    0.043    0.000    0.650    0.000 /home/pdf/workspace/OLPC/udrawingsurface.py:182(drawLastTriangle)
     6278    0.042    0.000    0.387    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:294(rotateZ)
     5624    0.040    0.000    0.051    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:268(rotateY)
     6480    0.039    0.000    0.827    0.000 /home/pdf/workspace/OLPC/uturtle.py:424(drawTriangleFromIndexes)
      976    0.038    0.000    1.547    0.002 /home/pdf/workspace/OLPC/uinflor.py:118(traverseActivity)
     5808    0.035    0.000    0.069    0.000 /home/pdf/workspace/OLPC/uleaf.py:67(traverseActivity)
     4280    0.034    0.000    0.299    0.000 /home/pdf/workspace/OLPC/uturtle.py:412(drawInMillimeters)
     6260    0.033    0.000    0.175    0.000 /home/pdf/workspace/OLPC/uturtle.py:350(transformAndRecord)
